GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myartifactid,default,TaskManager,0,82,0,12,0,23,0,10,0,4
myartifactid,default,Main,22,0,0,0,8,0,2,0,2,0
